locale;code;name;descr
"bg";accountingPrinciple;Счетоводен принцип;Счетоводен принцип
"bg";companyCode;Фирмен код;Фирмен код
"bg";plant;Завод;Завод
"bg";controllingArea;Област на контролинг;Област на контролинг
"bg";fiscalPeriod;Финансов период;Финансов период
"bg";fiscalYearPeriod;Период на финансова година;Период на финансова година
"bg";fiscalYear;Финансова година;Финансова година
"bg";keyDate;Контролна дата;Контролна дата
"bg";chartOfAccounts;Сметкоплан;Сметкоплан
"bg";fiscalYearVariant;Вариант на финансова година;Вариант на финансова година
"bg";ledger;Журнал;Журнал
"bg";testRun;Тестово изпълнение;Тестово изпълнение
"bg";postingPeriodVariant;Вариант на период на осчетоводяване;Вариант на период на осчетоводяване
"bg";processingUser;Обработващ потребител;Обработващ потребител
"bg";interestedUser;Заинтересован потребител;Заинтересован потребител
"bg";userResponsible;Отговорен потребител;Отговорен потребител
"bg";processingUserEmail;Имейл на обработващ потребител;Имейл на обработващ потребител
"bg";interestedUserEmail;Имейл на заинтересован потребител;Имейл на заинтересован потребител
"bg";userResponsibleEmail;Имейл на отговорен потребител;Имейл на отговорен потребител
"bg";executionID;ИД на изпълнение;ИД на изпълнение
"bg";customField1;Потребителско поле 1;Потребителско поле 1
"bg";customField2;Потребителско поле 2;Потребителско поле 2
"bg";customField3;Потребителско поле 3;Потребителско поле 3
"bg";taskListID;ИД на списък със задачи;ИД на списък със задачи
"bg";taskListDescription;Описание на списък със задачи;Описание на списък със задачи
"bg";taskID;ИД на задача;ИД на задача
"bg";taskDescription;Описание на задача;Описание на задача
