locale;code;name;descr
"ms";accountingPrinciple;Prinsip Perakaunan;Prinsip Perakaunan
"ms";companyCode;Kod Syarikat;Kod Syarikat
"ms";plant;Loji;Loji
"ms";controllingArea;Bahagian Pengawalan;Bahagian Pengawalan
"ms";fiscalPeriod;Tempoh Fiskal;Tempoh Fiskal
"ms";fiscalYearPeriod;Tempoh Tahun Fiskal;Tempoh Tahun Fiskal
"ms";fiscalYear;Tahun Fiskal;Tahun Fiskal
"ms";keyDate;Tarikh Rujukan;Tarikh Rujukan
"ms";chartOfAccounts;Carta Akaun;Carta Akaun
"ms";fiscalYearVariant;Varian Tahun Fiskal;Varian Tahun Fiskal
"ms";ledger;Lejar;Lejar
"ms";testRun;Jalanan Ujian;Jalanan Ujian
"ms";postingPeriodVariant;Varian Tempoh Pengeposan;Varian Tempoh Pengeposan
"ms";processingUser;Pengguna Pemprosesan;Pengguna Pemprosesan
"ms";interestedUser;Pengguna Berkepentingan;Pengguna Berkepentingan
"ms";userResponsible;Pengguna Bertanggungjawab;Pengguna Bertanggungjawab
"ms";processingUserEmail;E-mel Pengguna Pemprosesan;E-mel Pengguna Pemprosesan
"ms";interestedUserEmail;E-mel Pengguna Berkepentingan;E-mel Pengguna Berkepentingan
"ms";userResponsibleEmail;E-mel Pengguna Bertanggungjawab;E-mel Pengguna Bertanggungjawab
"ms";executionID;ID Pelaksanaan;ID Pelaksanaan
"ms";customField1;Medan Tersuai 1;Medan Tersuai 1
"ms";customField2;Medan Tersuai 2;Medan Tersuai 2
"ms";customField3;Medan Tersuai 3;Medan Tersuai 3
"ms";taskListID;ID Senarai Tugas;ID Senarai Tugas
"ms";taskListDescription;Perihalan Senarai Tugas;Perihalan Senarai Tugas
"ms";taskID;ID Tugas;ID Tugas
"ms";taskDescription;Perihalan Tugas;Perihalan Tugas
