locale;code;name;descr
"ru";accountingPrinciple;Правило учета;Правило учета
"ru";companyCode;Балансовая единица;Балансовая единица
"ru";plant;Завод;Завод
"ru";controllingArea;Контроллинговая единица;Контроллинговая единица
"ru";fiscalPeriod;Финансовый период;Финансовый период
"ru";fiscalYearPeriod;Период финансового года;Период финансового года
"ru";fiscalYear;Финансовый год;Финансовый год
"ru";keyDate;Отчетная дата;Отчетная дата
"ru";chartOfAccounts;План счетов;План счетов
"ru";fiscalYearVariant;Вариант финансового года;Вариант финансового года
"ru";ledger;Регистр;Регистр
"ru";testRun;Тестовый прогон;Тестовый прогон
"ru";postingPeriodVariant;Вариант периода проводки;Вариант периода проводки
"ru";processingUser;Обработчик;Обработчик
"ru";interestedUser;Заинтересованный пользователь;Заинтересованный пользователь
"ru";userResponsible;Ответственный;Ответственный
"ru";processingUserEmail;Электронная почта обработчика;Электронная почта обработчика
"ru";interestedUserEmail;Электронная почта заинтересованного пользователя;Электронная почта заинтересованного пользователя
"ru";userResponsibleEmail;Электронная почта ответственного;Электронная почта ответственного
"ru";executionID;Ид. выполнения;Ид. выполнения
"ru";customField1;Пользовательское поле 1;Пользовательское поле 1
"ru";customField2;Пользовательское поле 2;Пользовательское поле 2
"ru";customField3;Пользовательское поле 3;Пользовательское поле 3
"ru";taskListID;Ид. плана задач;Ид. плана задач
"ru";taskListDescription;Описание плана задач;Описание плана задач
"ru";taskID;Ид. задачи;Ид. задачи
"ru";taskDescription;Описание задачи;Описание задачи
