locale;code;name;descr
"th";accountingPrinciple;หลักการบัญชี;หลักการบัญชี
"th";companyCode;รหัสบริษัท;รหัสบริษัท
"th";plant;โรงงาน;โรงงาน
"th";controllingArea;เขตการควบคุม;เขตการควบคุม
"th";fiscalPeriod;งวดบัญชี;งวดบัญชี
"th";fiscalYearPeriod;งวดของปีบัญชี;งวดของปีบัญชี
"th";fiscalYear;ปีบัญชี;ปีบัญชี
"th";keyDate;วันที่หลัก;วันที่หลัก
"th";chartOfAccounts;ผังบัญชี;ผังบัญชี
"th";fiscalYearVariant;ชุดตัวเลือกปีบัญชี;ชุดตัวเลือกปีบัญชี
"th";ledger;บัญชีแยกประเภท;บัญชีแยกประเภท
"th";testRun;การทดสอบการทำงาน;การทดสอบการทำงาน
"th";postingPeriodVariant;ชุดตัวเลือกงวดการผ่านรายการ;ชุดตัวเลือกงวดการผ่านรายการ
"th";processingUser;ผู้ใช้ที่ดำเนินการ;ผู้ใช้ที่ดำเนินการ
"th";interestedUser;ผู้ใช้ที่สนใจ;ผู้ใช้ที่สนใจ
"th";userResponsible;ผู้ใช้ที่รับผิดชอบ;ผู้ใช้ที่รับผิดชอบ
"th";processingUserEmail;อีเมล์ของผู้ใช้ที่ดำเนินการ;อีเมล์ของผู้ใช้ที่ดำเนินการ
"th";interestedUserEmail;อีเมล์ของผู้ใช้ที่สนใจ;อีเมล์ของผู้ใช้ที่สนใจ
"th";userResponsibleEmail;อีเมล์ของผู้ใช้ที่รับผิดชอบ;อีเมล์ของผู้ใช้ที่รับผิดชอบ
"th";executionID;ID การดำเนินการ;ID การดำเนินการ
"th";customField1;ฟิลด์ที่ปรับแต่งได้ 1;ฟิลด์ที่ปรับแต่งได้ 1
"th";customField2;ฟิลด์ที่ปรับแต่งได้ 2;ฟิลด์ที่ปรับแต่งได้ 2
"th";customField3;ฟิลด์ที่ปรับแต่งได้ 3;ฟิลด์ที่ปรับแต่งได้ 3
"th";taskListID;ID รายการงาน;ID รายการงาน
"th";taskListDescription;คำอธิบายรายการงาน;คำอธิบายรายการงาน
"th";taskID;ID งาน;ID งาน
"th";taskDescription;คำอธิบายงาน;คำอธิบายงาน
