locale;code;name;descr
"uk";accountingPrinciple;Принцип обліку;Принцип обліку
"uk";companyCode;Балансова одиниця;Балансова одиниця
"uk";plant;Завод;Завод
"uk";controllingArea;Контролінгова одиниця;Контролінгова одиниця
"uk";fiscalPeriod;Фінансовий період;Фінансовий період
"uk";fiscalYearPeriod;Період фінансового року;Період фінансового року
"uk";fiscalYear;Фінансовий рік;Фінансовий рік
"uk";keyDate;Контрольна дата;Контрольна дата
"uk";chartOfAccounts;План рахунків;План рахунків
"uk";fiscalYearVariant;Варіант фінансового року;Варіант фінансового року
"uk";ledger;Бухгалтерська книга;Бухгалтерська книга
"uk";testRun;Тестовий прогін;Тестовий прогін
"uk";postingPeriodVariant;Варіант періоду проводки;Варіант періоду проводки
"uk";processingUser;Користувач-обробник;Користувач-обробник
"uk";interestedUser;Зацікавлений користувач;Зацікавлений користувач
"uk";userResponsible;Відповідальний користувач;Відповідальний користувач
"uk";processingUserEmail;Електронна пошта користувача-обробника;Електронна пошта користувача-обробника
"uk";interestedUserEmail;Електронна пошта зацікавленого користувача;Електронна пошта зацікавленого користувача
"uk";userResponsibleEmail;Електронна пошта відповідального користувача;Електронна пошта відповідального користувача
"uk";executionID;ІД виконання;ІД виконання
"uk";customField1;Користувацьке поле 1;Користувацьке поле 1
"uk";customField2;Користувацьке поле 2;Користувацьке поле 2
"uk";customField3;Користувацьке поле 3;Користувацьке поле 3
"uk";taskListID;ІД списку завдань;ІД списку завдань
"uk";taskListDescription;Опис списку завдань;Опис списку завдань
"uk";taskID;ІД завдання;ІД завдання
"uk";taskDescription;Опис завдання;Опис завдання
