locale;code;name;descr
"ar";accountingPrinciple;المبدأ المحاسبي;المبدأ المحاسبي
"ar";companyCode;رمز الشركة;رمز الشركة
"ar";plant;الوحدة;الوحدة
"ar";controllingArea;منطقة المراقبة;منطقة المراقبة
"ar";fiscalPeriod;الفترة المالية;الفترة المالية
"ar";fiscalYearPeriod;فترة السنة المالية;فترة السنة المالية
"ar";fiscalYear;السنة المالية;السنة المالية
"ar";keyDate;التاريخ الأساسي;التاريخ الأساسي
"ar";chartOfAccounts;دليل الحسابات;دليل الحسابات
"ar";fiscalYearVariant;متغير السنة المالية;متغير السنة المالية
"ar";ledger;دفتر الأستاذ;دفتر الأستاذ
"ar";testRun;تشغيل اختباري;تشغيل اختباري
"ar";postingPeriodVariant;متغير فترة الترحيل;متغير فترة الترحيل
"ar";processingUser;المستخدم المعالِج;المستخدم المعالِج
"ar";interestedUser;المستخدم المهتم;المستخدم المهتم
"ar";userResponsible;المستخدم المسؤول;المستخدم المسؤول
"ar";processingUserEmail;البريد الإلكتروني للمستخدم المعالِج;البريد الإلكتروني للمستخدم المعالِج
"ar";interestedUserEmail;البريد الإلكتروني للمستخدم المهتم;البريد الإلكتروني للمستخدم المهتم
"ar";userResponsibleEmail;البريد الإلكتروني للمستخدم المسؤول;البريد الإلكتروني للمستخدم المسؤول
"ar";executionID;معرف التنفيذ;معرف التنفيذ
"ar";customField1;حقل مخصص 1;حقل مخصص 1
"ar";customField2;حقل مخصص 2;حقل مخصص 2
"ar";customField3;حقل مخصص 3;حقل مخصص 3
"ar";taskListID;معرف قائمة المهام;معرف قائمة المهام
"ar";taskListDescription;وصف قائمة المهام;وصف قائمة المهام
"ar";taskID;معرف المهمة;معرف المهمة
"ar";taskDescription;وصف المهمة;وصف المهمة
