locale;code;name;descr
"en";accountingPrinciple;Accounting Principle;Accounting Principle
"en";companyCode;Company Code;Company Code
"en";plant;Plant;Plant
"en";controllingArea;Controlling Area;Controlling Area
"en";fiscalPeriod;Fiscal Period;Fiscal Period
"en";fiscalYearPeriod;Fiscal Year Period;Fiscal Year Period
"en";fiscalYear;Fiscal Year;Fiscal Year
"en";keyDate;Key Date;Key Date
"en";chartOfAccounts;Chart of Accounts;Chart of Accounts
"en";fiscalYearVariant;Fiscal Year Variant;Fiscal Year Variant
"en";ledger;Ledger;Ledger
"en";testRun;Test Run;Test Run
"en";postingPeriodVariant;Posting Period Variant;Posting Period Variant
"en";processingUser;Processing User;Processing User
"en";interestedUser;Interested User;Interested User
"en";userResponsible;User Responsible;User Responsible
"en";processingUserEmail;Processing User Email;Processing User Email
"en";interestedUserEmail;Interested User Email;Interested User Email
"en";userResponsibleEmail;User Responsible Email;User Responsible Email
"en";executionID;Execution ID;Execution ID
"en";customField1;Custom Field 1;Custom Field 1
"en";customField2;Custom Field 2;Custom Field 2
"en";customField3;Custom Field 3;Custom Field 3
"en";taskListID;Task List ID;Task List ID
"en";taskListDescription;Task List Description;Task List Description
"en";taskID;Task ID;Task ID
"en";taskDescription;Task Description;Task Description
