locale;code;name;descr
"es";accountingPrinciple;Principio de contabilidad;Principio de contabilidad
"es";companyCode;Sociedad;Sociedad
"es";plant;Planta;Planta
"es";controllingArea;Área de control;Área de control
"es";fiscalPeriod;Fiscal Period;Fiscal Period
"es";fiscalYearPeriod;Período de ejercicio;Período de ejercicio
"es";fiscalYear;Ejercicio fiscal;Ejercicio fiscal
"es";keyDate;Fecha clave;Fecha clave
"es";chartOfAccounts;Catálogo de cuentas;Catálogo de cuentas
"es";fiscalYearVariant;Variante de ejercicio;Variante de ejercicio
"es";ledger;Ledger;Ledger
"es";testRun;Ejecución de test;Ejecución de test
"es";postingPeriodVariant;Posting Period Variant;Posting Period Variant
"es";processingUser;Usuario de procesamiento;Usuario de procesamiento
"es";interestedUser;Usuario interesado;Usuario interesado
"es";userResponsible;Usuario responsable;Usuario responsable
"es";processingUserEmail;Processing User Email;Processing User Email
"es";interestedUserEmail;Interested User Email;Interested User Email
"es";userResponsibleEmail;User Responsible Email;User Responsible Email
"es";executionID;ID de ejecución;ID de ejecución
"es";customField1;Campo personalizado 1;Campo personalizado 1
"es";customField2;Campo personalizado 2;Campo personalizado 2
"es";customField3;Campo personalizado 3;Campo personalizado 3
"es";taskListID;ID de lista de tareas;ID de lista de tareas
"es";taskListDescription;Descripción de lista de tareas;Descripción de lista de tareas
"es";taskID;ID de tarea;ID de tarea
"es";taskDescription;Descripción de tarea;Descripción de tarea
