locale;code;name;descr
"he";accountingPrinciple;עקרון חשבונאי;עקרון חשבונאי
"he";companyCode;קוד חברה;קוד חברה
"he";plant;אתר;אתר
"he";controllingArea;אזור בקרה;אזור בקרה
"he";fiscalPeriod;תקופת כספים;תקופת כספים
"he";fiscalYearPeriod;תקופת שנת כספים;תקופת שנת כספים
"he";fiscalYear;שנת כספים;שנת כספים
"he";keyDate;תאריך מפתח;תאריך מפתח
"he";chartOfAccounts;תרשים חשבונות;תרשים חשבונות
"he";fiscalYearVariant;וריאנט של שנת כספים;וריאנט של שנת כספים
"he";ledger;ספר חשבונות;ספר חשבונות
"he";testRun;הפעלת בדיקה;הפעלת בדיקה
"he";postingPeriodVariant;וריאנט של תקופת רישום;וריאנט של תקופת רישום
"he";processingUser;משתמש מעבד;משתמש מעבד
"he";interestedUser;משתמש מעוניין;משתמש מעוניין
"he";userResponsible;משתמש אחראי;משתמש אחראי
"he";processingUserEmail;דוא"ל של משתמש מעבד;דוא"ל של משתמש מעבד
"he";interestedUserEmail;דוא"ל של משתמש מעוניין;דוא"ל של משתמש מעוניין
"he";userResponsibleEmail;דוא"ל של משתמש אחראי;דוא"ל של משתמש אחראי
"he";executionID;זיהוי ביצוע;זיהוי ביצוע
"he";customField1;שדה מותאם אישית 1;שדה מותאם אישית 1
"he";customField2;שדה מותאם אישית 2;שדה מותאם אישית 2
"he";customField3;שדה מותאם אישית 3;שדה מותאם אישית 3
"he";taskListID;זיהוי רשימת משימות;זיהוי רשימת משימות
"he";taskListDescription;תיאור רשימת משימות;תיאור רשימת משימות
"he";taskID;זיהוי משימה;זיהוי משימה
"he";taskDescription;תיאור משימה;תיאור משימה
