locale;code;name;descr
"hr";accountingPrinciple;Računovodstveno načelo;Računovodstveno načelo
"hr";companyCode;Šifra poduzeća;Šifra poduzeća
"hr";plant;Pogon;Pogon
"hr";controllingArea;Područje kontrolinga;Područje kontrolinga
"hr";fiscalPeriod;Fiskalno razdoblje;Fiskalno razdoblje
"hr";fiscalYearPeriod;Razdoblje fiskalne godine;Razdoblje fiskalne godine
"hr";fiscalYear;Fiskalna godina;Fiskalna godina
"hr";keyDate;Ključni datum;Ključni datum
"hr";chartOfAccounts;Kontni plan;Kontni plan
"hr";fiscalYearVariant;Varijanta fiskalne godine;Varijanta fiskalne godine
"hr";ledger;Knjiga;Knjiga
"hr";testRun;Probno izvođenje;Probno izvođenje
"hr";postingPeriodVariant;Varijanta razdoblja knjiženja;Varijanta razdoblja knjiženja
"hr";processingUser;Korisnik obrade;Korisnik obrade
"hr";interestedUser;Zainteresiran korisnik;Zainteresiran korisnik
"hr";userResponsible;Odgovorni korisnik;Odgovorni korisnik
"hr";processingUserEmail;E-adresa korisnika obrade;E-adresa korisnika obrade
"hr";interestedUserEmail;E-adresa zainteresiranog korisnika;E-adresa zainteresiranog korisnika
"hr";userResponsibleEmail;E-adresa odgovornog korisnika;E-adresa odgovornog korisnika
"hr";executionID;ID izvršenja;ID izvršenja
"hr";customField1;Prilagođeno polje 1;Prilagođeno polje 1
"hr";customField2;Prilagođeno polje 2;Prilagođeno polje 2
"hr";customField3;Prilagođeno polje 3;Prilagođeno polje 3
"hr";taskListID;ID popisa zadataka;ID popisa zadataka
"hr";taskListDescription;Opis popisa zadataka;Opis popisa zadataka
"hr";taskID;ID zadatka;ID zadatka
"hr";taskDescription;Opis zadatka;Opis zadatka
