locale;code;name;descr
"hu";accountingPrinciple;Beszámolási előírás;Beszámolási előírás
"hu";companyCode;Vállalat;Vállalat
"hu";plant;Gyár;Gyár
"hu";controllingArea;Költségszámítási kör;Költségszámítási kör
"hu";fiscalPeriod;Gazdasági periódus;Gazdasági periódus
"hu";fiscalYearPeriod;Gazdasági év periódusa;Gazdasági év periódusa
"hu";fiscalYear;Gazdasági év;Gazdasági év
"hu";keyDate;Határnap;Határnap
"hu";chartOfAccounts;Számlakeret;Számlakeret
"hu";fiscalYearVariant;Gazdaságiév-változat;Gazdaságiév-változat
"hu";ledger;Ledger;Ledger
"hu";testRun;Tesztfutás;Tesztfutás
"hu";postingPeriodVariant;Könyvelésiperiódus-változat;Könyvelésiperiódus-változat
"hu";processingUser;Feldolgozó felhasználó;Feldolgozó felhasználó
"hu";interestedUser;Érdeklődő felhasználó;Érdeklődő felhasználó
"hu";userResponsible;Felelős felhasználó;Felelős felhasználó
"hu";processingUserEmail;Feldolgozó felhasználó e-maile;Feldolgozó felhasználó e-maile
"hu";interestedUserEmail;Érdeklődő felhasználó e-maile;Érdeklődő felhasználó e-maile
"hu";userResponsibleEmail;Felelős felhasználó e-maile;Felelős felhasználó e-maile
"hu";executionID;Végrehajtás azonosítója;Végrehajtás azonosítója
"hu";customField1;1. egyéni mező;1. egyéni mező
"hu";customField2;2. egyéni mező;2. egyéni mező
"hu";customField3;3. egyéni mező;3. egyéni mező
"hu";taskListID;Feladatterv-azonosító;Feladatterv-azonosító
"hu";taskListDescription;Feladatterv leírása;Feladatterv leírása
"hu";taskID;Feladatazonosító;Feladatazonosító
"hu";taskDescription;Feladat leírása;Feladat leírása
