locale;code;name;descr
"kk";accountingPrinciple;Есептілік принципі;Есептілік принципі
"kk";companyCode;Баланстық бірлік;Баланстық бірлік
"kk";plant;Зауыт;Зауыт
"kk";controllingArea;Контроллинг бірлігі;Контроллинг бірлігі
"kk";fiscalPeriod;Қаржы кезеңі;Қаржы кезеңі
"kk";fiscalYearPeriod;Қаржы жылының кезеңі;Қаржы жылының кезеңі
"kk";fiscalYear;Қаржы жылы;Қаржы жылы
"kk";keyDate;Бақылау күні;Бақылау күні
"kk";chartOfAccounts;Шоттар кестесі;Шоттар кестесі
"kk";fiscalYearVariant;Қаржы жылының нұсқасы;Қаржы жылының нұсқасы
"kk";ledger;Тіркелім;Тіркелім
"kk";testRun;Сынақ сеансы;Сынақ сеансы
"kk";postingPeriodVariant;Өткізбе кезеңінің нұсқасы;Өткізбе кезеңінің нұсқасы
"kk";processingUser;Өңдеуші пайдаланушы;Өңдеуші пайдаланушы
"kk";interestedUser;Мүдделі пайдаланушы;Мүдделі пайдаланушы
"kk";userResponsible;Жауапты пайдаланушы;Жауапты пайдаланушы
"kk";processingUserEmail;Өңдеуші пайдаланушының эл. поштасы;Өңдеуші пайдаланушының эл. поштасы
"kk";interestedUserEmail;Мүдделі пайдаланушының эл. поштасы;Мүдделі пайдаланушының эл. поштасы
"kk";userResponsibleEmail;Жауапты пайдаланушының эл. поштасы;Жауапты пайдаланушының эл. поштасы
"kk";executionID;Орындау ид.;Орындау ид.
"kk";customField1;Теңшелмелі өріс 1;Теңшелмелі өріс 1
"kk";customField2;Теңшелмелі өріс 2;Теңшелмелі өріс 2
"kk";customField3;Теңшелмелі өріс 3;Теңшелмелі өріс 3
"kk";taskListID;Тапсырмалар тізімі ид.;Тапсырмалар тізімі ид.
"kk";taskListDescription;Тапсырмалар тізімінің сипаттамасы;Тапсырмалар тізімінің сипаттамасы
"kk";taskID;Тапсырма ид.;Тапсырма ид.
"kk";taskDescription;Тапсырма сипаттамасы;Тапсырма сипаттамасы
