locale;code;name;descr
"sk";accountingPrinciple;Účtovný predpis;Účtovný predpis
"sk";companyCode;Účtovný okruh;Účtovný okruh
"sk";plant;Závod;Závod
"sk";controllingArea;Nákladový okruh;Nákladový okruh
"sk";fiscalPeriod;Fiscal Period;Fiscal Period
"sk";fiscalYearPeriod;Obdobie fiškálneho roka;Obdobie fiškálneho roka
"sk";fiscalYear;Fiškálny rok;Fiškálny rok
"sk";keyDate;Rozhodujúci deň;Rozhodujúci deň
"sk";chartOfAccounts;Účtová osnova;Účtová osnova
"sk";fiscalYearVariant;Variant fiškálneho roka;Variant fiškálneho roka
"sk";ledger;Účtovná kniha;Účtovná kniha
"sk";testRun;Testovací chod;Testovací chod
"sk";postingPeriodVariant;Posting Period Variant;Posting Period Variant
"sk";processingUser;Spracovávajúci používateľ;Spracovávajúci používateľ
"sk";interestedUser;Zapojený používateľ;Zapojený používateľ
"sk";userResponsible;Zodpoved.používateľ;Zodpoved.používateľ
"sk";processingUserEmail;Processing User Email;Processing User Email
"sk";interestedUserEmail;Interested User Email;Interested User Email
"sk";userResponsibleEmail;User Responsible Email;User Responsible Email
"sk";executionID;ID vykonania;ID vykonania
"sk";customField1;Vlastné pole 1;Vlastné pole 1
"sk";customField2;Vlastné pole 2;Vlastné pole 2
"sk";customField3;Vlastné pole 3;Vlastné pole 3
"sk";taskListID;ID zoznamu úloh;ID zoznamu úloh
"sk";taskListDescription;Popis zoznamu úloh;Popis zoznamu úloh
"sk";taskID;ID úlohy;ID úlohy
"sk";taskDescription;Popis úlohy;Popis úlohy
