locale;code;name;descr
"th";accountingPrinciple;หลักการบัญชี;หลักการบัญชี
"th";companyCode;รหัสบริษัท;รหัสบริษัท
"th";plant;โรงงาน;โรงงาน
"th";controllingArea;เขตการควบคุม;เขตการควบคุม
"th";fiscalPeriod;Fiscal Period;Fiscal Period
"th";fiscalYearPeriod;งวดของปีบัญชี;งวดของปีบัญชี
"th";fiscalYear;ปีบัญชี;ปีบัญชี
"th";keyDate;วันที่หลัก;วันที่หลัก
"th";chartOfAccounts;ผังบัญชี;ผังบัญชี
"th";fiscalYearVariant;ชุดตัวเลือกปีบัญชี;ชุดตัวเลือกปีบัญชี
"th";ledger;บัญชีแยกประเภท;บัญชีแยกประเภท
"th";testRun;การทดสอบการทำงาน;การทดสอบการทำงาน
"th";postingPeriodVariant;Posting Period Variant;Posting Period Variant
"th";processingUser;ผู้ใช้ที่ดำเนินการ;ผู้ใช้ที่ดำเนินการ
"th";interestedUser;ผู้ใช้ที่สนใจ;ผู้ใช้ที่สนใจ
"th";userResponsible;ผู้ใช้ที่รับผิดชอบ;ผู้ใช้ที่รับผิดชอบ
"th";processingUserEmail;Processing User Email;Processing User Email
"th";interestedUserEmail;Interested User Email;Interested User Email
"th";userResponsibleEmail;User Responsible Email;User Responsible Email
"th";executionID;ID การดำเนินการ;ID การดำเนินการ
"th";customField1;ฟิลด์ที่ปรับแต่งได้ 1;ฟิลด์ที่ปรับแต่งได้ 1
"th";customField2;ฟิลด์ที่ปรับแต่งได้ 2;ฟิลด์ที่ปรับแต่งได้ 2
"th";customField3;ฟิลด์ที่ปรับแต่งได้ 3;ฟิลด์ที่ปรับแต่งได้ 3
"th";taskListID;ID รายการงาน;ID รายการงาน
"th";taskListDescription;คำอธิบายรายการงาน;คำอธิบายรายการงาน
"th";taskID;ID งาน;ID งาน
"th";taskDescription;คำอธิบายงาน;คำอธิบายงาน
