locale;code;name;descr
"el";accountingPrinciple;Αρχή Λογιστικής;Αρχή Λογιστικής
"el";companyCode;Κωδικός Εταιρείας;Κωδικός Εταιρείας
"el";plant;Εγκατάσταση;Εγκατάσταση
"el";controllingArea;Περιοχή Ελεγκτικής;Περιοχή Ελεγκτικής
"el";fiscalPeriod;Οικονομική Περίοδος;Οικονομική Περίοδος
"el";fiscalYearPeriod;Περίοδος Οικονομικής Χρήσης;Περίοδος Οικονομικής Χρήσης
"el";fiscalYear;Οικονομικό Έτος;Οικονομικό Έτος
"el";keyDate;Βασική Ημερομηνία;Βασική Ημερομηνία
"el";chartOfAccounts;Λογιστικό Σχέδιο;Λογιστικό Σχέδιο
"el";fiscalYearVariant;Μεταβλητή Οικονομικού Έτους;Μεταβλητή Οικονομικού Έτους
"el";ledger;Καθολικό;Καθολικό
"el";testRun;Δοκιμαστική Εκτέλεση;Δοκιμαστική Εκτέλεση
"el";postingPeriodVariant;Καταχώριση Μεταβλητής Περιόδου; Καταχώριση Μεταβλητής Περιόδου
"el";processingUser;Χρήστης Επεξεργασίας;Χρήστης Επεξεργασίας
"el";interestedUser;Ενδιαφερόμενος Χρήστης;Ενδιαφερόμενος Χρήστης
"el";userResponsible;Υπεύθυνος Χρήστης;Υπεύθυνος Χρήστης
"el";processingUserEmail;Επεξεργασία Email Χρήστη;Επεξεργασία Email Χρήστη
"el";interestedUserEmail;Email Ενδιαφερόμενου Χρήστη;Email Ενδιαφερόμενου Χρήστη
"el";userResponsibleEmail;Email Υπεύθυνου Χρήστη;Email Υπεύθυνου Χρήστη
"el";executionID;ID Εκτέλεσης;ID Εκτέλεσης
"el";customField1;Παραμετροποιημένο Πεδίο 1;Παραμετροποιημένο Πεδίο 1
"el";customField2;Παραμετροποιημένο Πεδίο 2;Παραμετροποιημένο Πεδίο 2
"el";customField3;Παραμετροποιημένο Πεδίο 3;Παραμετροποιημένο Πεδίο 3
"el";taskListID;ID Λίστας Εργασίας;ID Λίστας Εργασίας
"el";taskListDescription;Περιγραφή Λίστας Εργασιών;Περιγραφή Λίστας Εργασιών
"el";taskID;ID Εργασίας;ID Εργασίας
"el";taskDescription;Περιγραφή Εργασίας;Περιγραφή Εργασίας
