locale;code;name;descr
"it";accountingPrinciple;Principio contabile;Principio contabile
"it";companyCode;Società;Società
"it";plant;Divisione;Divisione
"it";controllingArea;Controlling area;Controlling area
"it";fiscalPeriod;Periodo contabile;Periodo contabile
"it";fiscalYearPeriod;Periodo dell’esercizio;Periodo dell’esercizio
"it";fiscalYear;Esercizio;Esercizio
"it";keyDate;Data di riferimento;Data di riferimento
"it";chartOfAccounts;Piano dei conti;Piano dei conti
"it";fiscalYearVariant;Variante d’esercizio;Variante d’esercizio
"it";ledger;Ledger;Ledger
"it";testRun;Esecuzione test;Esecuzione test
"it";postingPeriodVariant;Variante del periodo contabile;Variante del periodo contabile
"it";processingUser;Utente dell'elaborazione;Utente dell'elaborazione
"it";interestedUser;Utente interessato;Utente interessato
"it";userResponsible;Utente responsabile;Utente responsabile
"it";processingUserEmail;E-mail utente dell'elaborazione;E-mail utente dell'elaborazione
"it";interestedUserEmail;E-mail utente interessato;E-mail utente interessato
"it";userResponsibleEmail;E-mail utente responsabile;E-mail utente responsabile
"it";executionID;ID esecuzione;ID esecuzione
"it";customField1;Campo personalizzato 1;Campo personalizzato 1
"it";customField2;Campo personalizzato 2;Campo personalizzato 2
"it";customField3;Campo personalizzato 3;Campo personalizzato 3
"it";taskListID;ID lista di task;ID lista di task
"it";taskListDescription;Descrizione lista task;Descrizione lista task
"it";taskID;ID task;ID task
"it";taskDescription;Descrizione task;Descrizione task
