locale;code;name;descr
"no";accountingPrinciple;Regnskapsprinsipp;Regnskapsprinsipp
"no";companyCode;Firmakode;Firmakode
"no";plant;Fabrikk;Fabrikk
"no";controllingArea;Kontrollområde;Kontrollområde
"no";fiscalPeriod;Regnskapsperiode;Regnskapsperiode
"no";fiscalYearPeriod;Regnskapsårsperiode;Regnskapsårsperiode
"no";fiscalYear;Regnskapsår;Regnskapsår
"no";keyDate;Referansedato;Referansedato
"no";chartOfAccounts;Kontoplan;Kontoplan
"no";fiscalYearVariant;Regnskapsårsvariant;Regnskapsårsvariant
"no";ledger;Hovedbok;Hovedbok
"no";testRun;Testkjøring;Testkjøring
"no";postingPeriodVariant;Regnskapsperiodevariant;Regnskapsperiodevariant
"no";processingUser;Behandlende bruker;Behandlende bruker
"no";interestedUser;Interessert bruker;Interessert bruker
"no";userResponsible;Ansvarlig bruker;Ansvarlig bruker
"no";processingUserEmail;Behandlende brukers e-postadresse;Behandlende brukers e-postadresse
"no";interestedUserEmail;Interessert brukers e-postadresse;Interessert brukers e-postadresse
"no";userResponsibleEmail;Ansvarlig brukers e-postadresse;Ansvarlig brukers e-postadresse
"no";executionID;Utførings-ID;Utførings-ID
"no";customField1;Egendefinert felt 1;Egendefinert felt 1
"no";customField2;Egendefinert felt 2;Egendefinert felt 2
"no";customField3;Egendefinert felt 3;Egendefinert felt 3
"no";taskListID;Oppgaveplan-ID;Oppgaveplan-ID
"no";taskListDescription;Beskrivelse av oppgaveplan;Beskrivelse av oppgaveplan
"no";taskID;Oppgave-ID;Oppgave-ID
"no";taskDescription;Oppgavebeskrivelse;Oppgavebeskrivelse
