locale;code;name;descr
"sh";accountingPrinciple;Računovodstveni standard;Računovodstveni standard
"sh";companyCode;Šifra kompanije;Šifra kompanije
"sh";plant;Pogon;Pogon
"sh";controllingArea;Oblast kontrolinga;Oblast kontrolinga
"sh";fiscalPeriod;Fiskalni period;Fiskalni period
"sh";fiscalYearPeriod;Period fiskalne godine;Period fiskalne godine
"sh";fiscalYear;Fiskalna godina;Fiskalna godina
"sh";keyDate;Ključni datum;Ključni datum
"sh";chartOfAccounts;Kontni plan;Kontni plan
"sh";fiscalYearVariant;Varijanta fiskalne godine;Varijanta fiskalne godine
"sh";ledger;Knjiga;Knjiga
"sh";testRun;Probno izvođenje;Probno izvođenje
"sh";postingPeriodVariant;Varijanta perioda knjiženja;Varijanta perioda knjiženja
"sh";processingUser;Korisnik obrade;Korisnik obrade
"sh";interestedUser;Zainteresovani korisnik;Zainteresovani korisnik
"sh";userResponsible;Odgovorni korisnik;Odgovorni korisnik
"sh";processingUserEmail;E-pošta korisnika obrade;E-pošta korisnika obrade
"sh";interestedUserEmail;E-pošta zainteresovanog korisnika;E-pošta zainteresovanog korisnika
"sh";userResponsibleEmail;E-pošta odgovornog korisnika;E-pošta odgovornog korisnika
"sh";executionID;ID izvršenja;ID izvršenja
"sh";customField1;Korisnički definisano polje 1;Korisnički definisano polje 1
"sh";customField2;Korisnički definisano polje 2;Korisnički definisano polje 2
"sh";customField3;Korisnički definisano polje 3;Korisnički definisano polje 3
"sh";taskListID;ID liste zadataka;ID liste zadataka
"sh";taskListDescription;Opis liste zadataka;Opis liste zadataka
"sh";taskID;ID zadatka;ID zadatka
"sh";taskDescription;Opis zadatka;Opis zadatka
