locale;code;name;descr
"sv";accountingPrinciple;Redovisningsstandard;Redovisningsstandard
"sv";companyCode;Företag;Företag
"sv";plant;Produktionsenhet;Produktionsenhet
"sv";controllingArea;Controllingenhet;Controllingenhet
"sv";fiscalPeriod;Räkenskapsperiod;Räkenskapsperiod
"sv";fiscalYearPeriod;Räkenskapsårsperiod;Räkenskapsårsperiod
"sv";fiscalYear;Räkenskapsår;Räkenskapsår
"sv";keyDate;Referensdag;Referensdag
"sv";chartOfAccounts;Kontoplan;Kontoplan
"sv";fiscalYearVariant;Räkenskapsårsvariant;Räkenskapsårsvariant
"sv";ledger;Ledger;Ledger
"sv";testRun;Testkörning;Testkörning
"sv";postingPeriodVariant;Bokningsperiodsvariant;Bokningsperiodsvariant
"sv";processingUser;Utförande användare;Utförande användare
"sv";interestedUser;Intressentanvändare;Intressentanvändare
"sv";userResponsible;Ansvarig användare;Ansvarig användare
"sv";processingUserEmail;E-post för utförande användare;E-post för utförande användare
"sv";interestedUserEmail;E-post för intressentanvändare;E-post för intressentanvändare
"sv";userResponsibleEmail;E-post för ansvarig användare;E-post för ansvarig användare
"sv";executionID;Utförande-ID;Utförande-ID
"sv";customField1;Användardefinierat fält 1;Användardefinierat fält 1
"sv";customField2;Användardefinierat fält 2;Användardefinierat fält 2
"sv";customField3;Användardefinierat fält 3;Användardefinierat fält 3
"sv";taskListID;Uppgiftsplan-ID;Uppgiftsplan-ID
"sv";taskListDescription;Beskrivning uppgiftsplan;Beskrivning uppgiftsplan
"sv";taskID;Uppgifts-ID;Uppgifts-ID
"sv";taskDescription;Uppgiftsbeskrivning;Uppgiftsbeskrivning
